"Ce produit a bien été ajouté à votre panier","This product has been added to your cart."
"a bien été ajouté à votre panier.","has been added to your cart."
"plus que","more than"
"pour bénéficier des frais de port offerts","to benefit from the free shipping"
"Poursuivre mes achats","Continue shopping"
"Accéder au panier","Go to cart"
"Ajout au panier en cours ...","Waiting add to cart ..."
