"Maximum levels of sponsorship","Maximum levels of sponsorship"
"Message","Message"
"Mode of the module","Mode of the module"
"Module","Module"
"My fidelity points","My fidelity points"
"My sponsor points","My sponsor points"
"Name:","Name:"
"Notification Email Template","Notification Email Template"
"Number of sponsorships","Number of sponsorships"
"Once you will have points, you can change them into:","Once you will have points, you can change them into:"
"Open inviter providers","Open inviter providers"
"Or add recipient manually.","Or add recipient manually."
"paginationFirst","paginationFirst"
"paginationLast","paginationLast"
"paginationNext","paginationNext"
"paginationOf","paginationOf"
"paginationPages","paginationPages"
"paginationPrev","paginationPrev"
"Password missing !","Password missing !"
"Please check the form fields.","Please check the form fields."
"Please enter the full email, not just the username","Please enter the full email, not just the username"
"Please select changes","Please select changes"
"Points","Points"
"Points balance:","Points balance:"
"Points calculation","Points calculation"
"Points exchanges list","Points exchanges list"
"Points to exchange:","Points to exchange:"
"Points validity in days(0 for unlimited)","Points validity in days(0 for unlimited)"
"Principles of Sponsorship","Principles of Sponsorship"
"Provider detail","Provider detail"
"Provider missing !","Provider missing !"
"Provider was successfully deleted","Provider was successfully deleted"
"Provider was successfully saved","Provider was successfully saved"
"Ratio applied from level 2 to calculate the points of the sponsor (in percentage)","Ratio applied from level 2 to calculate the points of the sponsor (in percentage)"
"Recall","Recall"
"Recall %s %s","Recall %s %s"
"Recipient:","Recipient:"
"Recipients:","Recipients:"
"Recovery date","Recovery date"
"Related ID","Related ID"
"Related mail","Related mail"
"Related name","Related name"
"Remove Recipient","Remove Recipient"
"Required Fields","Required Fields"
"searchLabel","searchLabel"
"Select recipients from your address book:","Select recipients from your address book:"
"Select recipients from your address book.","Select recipients from your address book."
"Select your provider and sign in:","Select your provider and sign in:"
"Send email","Send email"
"Send notification to sponsor when godchild make him earn points","Send notification to sponsor when godchild make him earn points"
"Sender:","Sender:"
"Social Networks","Social Networks"
"Solved","Solved"
"Special Rate","Special Rate"
"Special rate","Special rate"
"Sponsor","Sponsor"
"sponsor","sponsor"
"Sponsor friends","Sponsor friends"
"Sponsor ID","Sponsor ID"
"Sponsor points ","Sponsor points "
"Sponsorship","Sponsorship"
"Sponsorship and separated mode options","Sponsorship and separated mode options"
"Sponsorship balance:","Sponsorship balance:"
"Sponsorship coupon","Sponsorship coupon"
"Sponsorship date","Sponsorship date"
"Sponsorship detail","Sponsorship detail"
"Sponsorship information","Sponsorship information"
"Sponsorship invitation","Sponsorship invitation"
"Sponsorship mail options","Sponsorship mail options"
"Sponsorship management","Sponsorship management"
"Sponsorship module activated","Sponsorship module activated"
"Sponsorship notification","Sponsorship notification"
"Sponsorship options","Sponsorship options"
"Sponsorship points","Sponsorship points"
"Sponsorship points by fixed amount","Sponsorship points by fixed amount"
"Sponsorship points by fixed amount for whole cart","Sponsorship points by fixed amount for whole cart"
"Sponsorship points by percentage of the original price","Sponsorship points by percentage of the original price"
"Sponsorship points:","Sponsorship points:"
"Sponsorship was successfully saved","Sponsorship was successfully saved"
"Sponsorships list","Sponsorships list"
"Status","Status"
"Subject:","Subject:"
"The change has been successfully recorded","The change has been successfully recorded"
"The exchange of %s points in %s is disabled.","The exchange of %s points in %s is disabled."
"The gifts exchange is not yet implemented.","The gifts exchange is not yet implemented."
"This change doesn't exist","This change doesn't exist"
"This sponsorship doesn't exist","This sponsorship doesn't exist"
"Time to send it automatically (days)","Time to send it automatically (days)"
