art_number	category	title	description	price	price_old	currency	ImgUrl	Deeplink1	Brand	EAN	Shipping
4107	Bento	Boîte Bento - MB Original Coton Made in France - monbento	Premier né de la collection monbento®, le bento MB Original est le compagnon idéal pour les déjeuners au bureau, les pique-niques ou les plateaux-télé. Composé de deux récipients hermétiques, d'une caissette pour MB Original de la couleur du récipient supérieur et d’un large élastique, il assure une séparation parfaite des aliments et un transport en toute sérénité. D’allure presque identique à son prédécesseur, la nouvelle version du MB Original recense de multiples nouveautés. Fabriquée à partir d’un matériau plastique de haute qualité plus résistant et doublé d’un revêtement « soft touch », la nouvelle lunchbox allie solidité et esthétisme. Pour varier les contenus et faciliter l’ouverture des compartiments, le couvercle intermédiaire a également été amélioré et rend votre MB Original désormais 100% hermétique ! Et parce que le confort d’utilisation n’a pas de limite chez monbento®, le MB Original devient totalement micro-ondable (grâce au petit capuchon des couvercles intermédiaires en silicone à soulever pour laisser échapper la vapeur et la pression) et est aussi adapté pour passer au lave-vaisselle. Le bento MB Original a gagné 2 prix pour son design à travers le monde : le Gia Award ainsi que le Reddot Design award. Caractéristiques : Passe au four micro-ondes, Passe au lave-vaisselle, Hermétique, Sans BPA, Soft touch, Alimentaire. Dimensions : L 185 x p 94 x h 100 (mm), Capacité : 1 L.	35		€	https://www.monbento.com/media/catalog/product/optimized/0/9/0925ca909730671307dbd13724cc9f31/monbento-mb-original-made-in-france-coton.png	https://www.monbento.com/boite-bento-monbento-mb-original-gris-made-in-france-4301.html	monbento	3760192683746	4,9
4105	Bento	Boîte Bento - MB Original Matcha Made in France - monbento	Premier né de la collection monbento®, le bento MB Original est le compagnon idéal pour les déjeuners au bureau, les pique-niques ou les plateaux-télé. Composé de deux récipients hermétiques, d'une caissette pour MB Original de la couleur du récipient supérieur et d’un large élastique, il assure une séparation parfaite des aliments et un transport en toute sérénité. D’allure presque identique à son prédécesseur, la nouvelle version du MB Original recense de multiples nouveautés. Fabriquée à partir d’un matériau plastique de haute qualité plus résistant et doublé d’un revêtement « soft touch », la nouvelle lunchbox allie solidité et esthétisme. Pour varier les contenus et faciliter l’ouverture des compartiments, le couvercle intermédiaire a également été amélioré et rend votre MB Original désormais 100% hermétique ! Et parce que le confort d’utilisation n’a pas de limite chez monbento®, le MB Original devient totalement micro-ondable (grâce au petit capuchon des couvercles intermédiaires en silicone à soulever pour laisser échapper la vapeur et la pression) et est aussi adapté pour passer au lave-vaisselle. Le bento MB Original a gagné 2 prix pour son design à travers le monde : le Gia Award ainsi que le Reddot Design award. Caractéristiques : Passe au four micro-ondes, Passe au lave-vaisselle, Hermétique, Sans BPA, Soft touch, Alimentaire. Dimensions : L 185 x p 94 x h 100 (mm), Capacité : 1 L.	35		€	https://www.monbento.com/media/catalog/product/cache/1/image/85e4522595efc69f496374d01ef2bf13/m/o/monbento-lunch-box-bento-made-in-france-matcha.png	https://www.monbento.com/boite-bento-monbento-mb-original-matcha-4124.html	monbento	3760192683753	4,9
4472	Bento	Grand Bento - MB Square monbento - Blush	D’ une contenance presque deux fois supérieure à celle de son cousin le MB Original, le MB Square est paré pour satisfaire la faim des plus gourmands.  Plus haut, chaque compartiment peut accueillir salades composées et sandwiches généreux. Un moyen idéal de transporter le pique-nique familial ! Pratique : Il inclut une caissette intérieure pour séparer les aliments qui composent votre repas et Il contient deux élastiques de tailles différentes pour utiliser votre bento en un ou deux étages. Caractéristiques : alimentaire, sans BPA, Hermétique, passe au micro-onde, au congélateur et au lave-vaisselle. DImensions : Dimensions produit : L 14 x p 14 x h 14cm. Capacité : 2x850 ml = 1.7 L. Composition : 2 récipients, 1 couvercle (matière PP), 2 couvercles intermédiaires (matière PP), 2 bouchons + joints (matière Silicon), 2 élastiques (matière élasthanne), 1 caissette (matière PP).	29,9		€	https://www.monbento.com/media/catalog/product/optimized/b/0/b08af4edfeec122cd11105380cdf9db7/large-bento-box-pink-mb-square-blush-monbento.png	https://www.monbento.com/grande-boite-bento-rose-blush-mb-square.html	monbento	3760192685436	4,9
4328	Bento	Grand Bento - MB Square monbento - Denim	D’ une contenance presque deux fois supérieure à celle de son cousin le MB Original, le MB Square est paré pour satisfaire la faim des plus gourmands.  Plus haut, chaque compartiment peut accueillir salades composées et sandwiches généreux. Un moyen idéal de transporter le pique-nique familial ! Pratique : Il inclut une caissette intérieure pour séparer les aliments qui composent votre repas et Il contient deux élastiques de tailles différentes pour utiliser votre bento en un ou deux étages. Caractéristiques : alimentaire, sans BPA, Hermétique, passe au micro-onde, au congélateur et au lave-vaisselle. DImensions : Dimensions produit : L 14 x p 14 x h 14cm. Capacité : 2x850 ml = 1.7 L. Composition : 2 récipients, 1 couvercle (matière PP), 2 couvercles intermédiaires (matière PP), 2 bouchons + joints (matière Silicon), 2 élastiques (matière élasthanne), 1 caissette (matière PP).	29,9		€	https://www.monbento.com/media/catalog/product/optimized/0/9/0925ca909730671307dbd13724cc9f31/monbento-large-bento-mb-square-denim-blue-bleu-azul-blau-blu.png	https://www.monbento.com/grande-boite-bento-bleu-denim-mb-square.html	monbento	3760192684156	4,9
4097	Bento	Grand Bento - MB Square monbento - Coton	D’ une contenance presque deux fois supérieure à celle de son cousin le MB Original, le MB Square est paré pour satisfaire la faim des plus gourmands.  Plus haut, chaque compartiment peut accueillir salades composées et sandwiches généreux. Un moyen idéal de transporter le pique-nique familial ! Pratique : Il inclut une caissette intérieure pour séparer les aliments qui composent votre repas et Il contient deux élastiques de tailles différentes pour utiliser votre bento en un ou deux étages. Caractéristiques : alimentaire, sans BPA, Hermétique, passe au micro-onde, au congélateur et au lave-vaisselle. DImensions : Dimensions produit : L 14 x p 14 x h 14cm. Capacité : 2x850 ml = 1.7 L. Composition : 2 récipients, 1 couvercle (matière PP), 2 couvercles intermédiaires (matière PP), 2 bouchons + joints (matière Silicon), 2 élastiques (matière élasthanne), 1 caissette (matière PP).	29,9		€	https://www.monbento.com/media/catalog/product/cache/1/image/85e4522595efc69f496374d01ef2bf13/m/o/monbento-bento-mb-square-coton-lunch-box.png	https://www.monbento.com/grande-boite-bento-coton-gris-mb-square.html	monbento	3760192683678	4,9
4096	Bento	Grand Bento - MB Square monbento - Matcha	D’ une contenance presque deux fois supérieure à celle de son cousin le MB Original, le MB Square est paré pour satisfaire la faim des plus gourmands.  Plus haut, chaque compartiment peut accueillir salades composées et sandwiches généreux. Un moyen idéal de transporter le pique-nique familial ! Pratique : Il inclut une caissette intérieure pour séparer les aliments qui composent votre repas et Il contient deux élastiques de tailles différentes pour utiliser votre bento en un ou deux étages. Caractéristiques : alimentaire, sans BPA, Hermétique, passe au micro-onde, au congélateur et au lave-vaisselle. DImensions : Dimensions produit : L 14 x p 14 x h 14cm. Capacité : 2x850 ml = 1.7 L. Composition : 2 récipients, 1 couvercle (matière PP), 2 couvercles intermédiaires (matière PP), 2 bouchons + joints (matière Silicon), 2 élastiques (matière élasthanne), 1 caissette (matière PP).	29,9		€	https://www.monbento.com/media/catalog/product/cache/1/image/85e4522595efc69f496374d01ef2bf13/m/o/monbento-bento-mb-square-matcha-lunch-box.png	https://www.monbento.com/grande-boite-bento-vert-matcha-mb-square.html	monbento	3760192683661	4,9
3988	Bento	Grand Bento - MB Square monbento - Litchi	D’ une contenance presque deux fois supérieure à celle de son cousin le MB Original, le MB Square est paré pour satisfaire la faim des plus gourmands.  Plus haut, chaque compartiment peut accueillir salades composées et sandwiches généreux. Un moyen idéal de transporter le pique-nique familial ! Pratique : Il inclut une caissette intérieure pour séparer les aliments qui composent votre repas et Il contient deux élastiques de tailles différentes pour utiliser votre bento en un ou deux étages. Caractéristiques : alimentaire, sans BPA, Hermétique, passe au micro-onde, au congélateur et au lave-vaisselle. DImensions : Dimensions produit : L 14 x p 14 x h 14cm. Capacité : 2x850 ml = 1.7 L. Composition : 2 récipients, 1 couvercle (matière PP), 2 couvercles intermédiaires (matière PP), 2 bouchons + joints (matière Silicon), 2 élastiques (matière élasthanne), 1 caissette (matière PP).	29,9		€	https://www.monbento.com/media/catalog/product/cache/1/image/85e4522595efc69f496374d01ef2bf13/m/o/monbento-grande-boite-bento-mb-square-rose-litchi.png	https://www.monbento.com/grande-boite-bento-rose-litchi-mb-square.html	monbento	3760192683371	4,9
3484	Bento	Grand Bento - MB Square monbento - Noir	D’ une contenance presque deux fois supérieure à celle de son cousin le MB Original, le MB Square est paré pour satisfaire la faim des plus gourmands.  Plus haut, chaque compartiment peut accueillir salades composées et sandwiches généreux. Un moyen idéal de transporter le pique-nique familial ! Pratique : Il inclut une caissette intérieure pour séparer les aliments qui composent votre repas et Il contient deux élastiques de tailles différentes pour utiliser votre bento en un ou deux étages. Caractéristiques : alimentaire, sans BPA, Hermétique, passe au micro-onde, au congélateur et au lave-vaisselle. DImensions : Dimensions produit : L 14 x p 14 x h 14cm. Capacité : 2x850 ml = 1.7 L. Composition : 2 récipients, 1 couvercle (matière PP), 2 couvercles intermédiaires (matière PP), 2 bouchons + joints (matière Silicon), 2 élastiques (matière élasthanne), 1 caissette (matière PP).	29,9		€	https://www.monbento.com/media/catalog/product/cache/1/image/85e4522595efc69f496374d01ef2bf13/m/o/monbento-grande-boite-bento-mb-square-noire.png	http://www.monbento.com/mb-square-noir-boite-bento-carree.html	monbento	3760192681933	4,9
4147	Bol	Bol Hermétique - MB Lib Litchi	"À vous, soupes, céréales et desserts onctueux où vous voulez !
Grâce à son couvercle hermétique et à sa double paroi qui maintient à température jusqu’à 2h, le MB Lib est le compagnon idéal de toutes vos pauses réconfortantes !
Partez tranquille : sa cuillère est déjà intégrée"	19,9		€	https://www.monbento.com/media/catalog/product/optimized/0/9/0925ca909730671307dbd13724cc9f31/monbento-mb-lib-bowl-soup-bol-scodella-schale_1.png	https://www.monbento.com/mb-lib-litchi-bol-hermetique-soupe.html	monbento	3760192683883	4,9
3493	Bol	Bol Hermétique - MB Lib Noir	"À vous, soupes, céréales et desserts onctueux où vous voulez !
Grâce à son couvercle hermétique et à sa double paroi qui maintient à température jusqu’à 2h, le MB Lib est le compagnon idéal de toutes vos pauses réconfortantes !
Partez tranquille : sa cuillère est déjà intégrée"	19,9		€	https://www.monbento.com/media/catalog/product/optimized/0/9/0925ca909730671307dbd13724cc9f31/monbento-mb-lib-bowl-soup-bol-scodella-schale-black_1.png	https://www.monbento.com/mb-lib-noir-bol-hermetique-soupe.html	monbento	3760192682084	4,9
4338	Bento	Lunch box isotherme - MB Element Onyx	"Pour ceux qui ne tiennent pas en place, les amoureux de la nature et de la vie en extérieur ou encore ceux qui mènent des journées hyper animées ne leur laissant pas une seconde à perdre, il y a le MB Element, le bento isotherme en acier inoxydable.
Maintenant au chaud ou au froid le repas jusqu'à 5h (en fonction du contenu et des conditions d'utilisation) au sein de son récipient de 650 ml, il apporte l’énergie nécessaire aux mangeurs mobiles qu’importe où ils se trouvent, en les libérant des contraintes de réfrigérateur et de micro-ondes.
Grâce à sa résistance, aucune aventure ne lui fait peur ! Et sa forme compacte lui permet de se faufiler partout – valise, sac à dos, sac à mains – en vue de nouvelles expéditions.
Adapté aux situations les plus extrêmes, ses fonctionnalités lui permettent également de trouver sa place dans la vie de tous les jours. D’autant plus qu’il est élégant, design et léger. Un nouvel allié multi-situations !"	45		€	https://www.monbento.com/media/catalog/product/optimized/0/9/0925ca909730671307dbd13724cc9f31/monbento-insulated-isotherme-lunch-box-bento.png	https://www.monbento.com/bento-isotherme-mb-element-4427.html	monbento	3760192682930	4,9
3615	Bento	Lunch box isotherme - MB Element Silver	"Pour ceux qui ne tiennent pas en place, les amoureux de la nature et de la vie en extérieur ou encore ceux qui mènent des journées hyper animées ne leur laissant pas une seconde à perdre, il y a le MB Element, le bento isotherme en acier inoxydable.
Maintenant au chaud ou au froid le repas jusqu'à 5h (en fonction du contenu et des conditions d'utilisation) au sein de son récipient de 650 ml, il apporte l’énergie nécessaire aux mangeurs mobiles qu’importe où ils se trouvent, en les libérant des contraintes de réfrigérateur et de micro-ondes.
Grâce à sa résistance, aucune aventure ne lui fait peur ! Et sa forme compacte lui permet de se faufiler partout – valise, sac à dos, sac à mains – en vue de nouvelles expéditions.
Adapté aux situations les plus extrêmes, ses fonctionnalités lui permettent également de trouver sa place dans la vie de tous les jours. D’autant plus qu’il est élégant, design et léger. Un nouvel allié multi-situations !"	45		€	https://www.monbento.com/media/catalog/product/optimized/5/7/573a5bd47eb74928b3b21a05efdd536e/insulated-bento-lunch-box-isotherme.png	https://www.monbento.com/bento-isotherme-mb-element.html	monbento	3760192682923	4,9
