id	gtin	title	color	material	pattern	google_product_category	product_type	size	brand	description	link	image_link	additional_image_link	price	condition	availability
"1005 01 811"	"3760192680943"	"Batch of 2 monbento™ sauce cup - Yellow/red"	"Red/Yellow/White"	"ABS/SBS"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Bentos accessories"	"XS"	"Monbento"	"<li>Batch of 2 matching sauce cups. 0.60 oz - 18 mL each.</li> <li>Micro-wave and dish-washer safe.</li> <li>Adapted to monbento&trade; bento boxes.</li> <li>100% air-tight.</li> <li>No Bisphenol-A nor Phthalate.</li>"	"http://en.monbento.com/monbento-sauce-cup-red-yellow.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-rouge-jaune_4.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-rouge-jaune_4.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble02_3.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble_1.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble03_1.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble05_3.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble01_1.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble04_1_1.jpg"	"5.2"	"new"	"in stock"
"1006 02 002"	"3760192680950"	"30 disposable cases (n°2) for MB Original bento's"	"Black"	"PP"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"monbento accessories"	"S"	"Monbento"	"<ul> <li>Material: PP.</li> <li>Suitable for microwave, dishwasher and freezer.</li> <li>Not suitable for oven.</li> </ul>"	"http://en.monbento.com/disposable-cases-original-bento-2.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-n2.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-n2.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-bis-n2.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-detail.jpg"	"5"	"new"	"in stock"
"1006 02 003"	"3760192680967"	"30 disposable cases (n°3) for MB Original bento's"	"Black"	"PP"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"monbento accessories"	"S"	"Monbento"	"<ul> </ul> <ul> <li>Material: PP.</li> <li>Suitable for microwave, dishwasher and freezer.</li> <li>Not suitable for oven.</li> </ul> <ul> </ul>"	"http://en.monbento.com/disposable-cases-original-bento-3.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-n3.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-n3.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-bis-n3.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-detail_1.jpg"	"6"	"new"	"in stock"
"1006 02 004"	"3760192680974"	"30 disposable cases (n°4) for MB Original bento's"	"Black"	"PP"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"monbento accessories"	"M"	"Monbento"	"<ul> </ul> <ul> <li>Material: PP.</li> <li>Suitable for microwave, dishwasher and freezer.</li> <li>Not suitable for oven.</li> </ul> <ul> </ul>"	"http://en.monbento.com/disposable-cases-original-bento-4.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-n4.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-n4.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-bis-n4.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-detail_2.jpg"	"7"	"new"	"in stock"
"1006 03 005"	"3760192680981"	"30 disposable cases (n°5) for MB Square bento's"	"Black"	"PP"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"monbento accessories"	"M"	"Monbento"	"<ul> <li>Material: PP.</li> <li>Suitable for microwave, dishwasher and freezer.</li> <li>Not suitable for oven.</li> </ul>"	"http://en.monbento.com/disposable-cases-square-bento-5.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mbs-mon-bento-n5.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mbs-mon-bento-n5.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mbs-mon-bento-bis-n5.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-detail_3.jpg"	"6"	"new"	"in stock"
"1006 03 006"	"3760192680998"	"30 disposable cases (n°6) for MB Square bento's"	"Black"	"PP"	""	"Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"monbento accessories"	"S"	"Monbento"	"<ul> </ul> <ul> <li>Material: PP.</li> <li>Suitable for microwave, dishwasher and freezer.</li> <li>Not suitable for oven.</li> </ul> <ul> </ul>"	"http://en.monbento.com/disposable-cases-square-bento-6.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mbs-mon-bento-n6.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mbs-mon-bento-n6.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mbs-mon-bento-bis-n6.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-detail_4.jpg"	"5"	"new"	"in stock"
"1004 02 402"	"3760192681049"	"MB Original Intermediary lids black"	"Noir"	"PP/TPE/silicone"	""	"Arts de la table et arts culinaires"	"Accessoires monbento"	"M"	"Monbento"	"<ul> <li>100% herm&eacute;tique.</li> <li>Mati&egrave;re : PP/TPE/silicone.</li> <li>Disponible en 7 couleurs.</li> <li>Bouchon en silicone &agrave; soulever pour une bo&icirc;te totalement micro-ondable.</li> </ul>"	"http://en.monbento.com/original-intermediary-lids-black-3330.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-couvercle-noir-_2.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-couvercle-noir-_2.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-cap-02-_1.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-cap-01.jpg"	"5"	"new"	"in stock"
"1000 02 111"	"3760192681001"	"Monbento™ Original bento box - yellow"	"Yellow"	"PBT/PP/TPE/silicone"	""	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Monbento Original bento"	"M"	"Monbento"	"<ul> </ul> <ul> </ul> <ul> <li>Dimension : 18,5 cm x 9,4 cm x 9,4 cm (length x width x height)</li> <li>Volume : 2 x 500 ml = 1L</li> <li>Suitable for dishwasher.</li> <li>Suitable for microwave by opening the silicone cap of the intermediary lid.</li> <li>Easy care.</li> <li>100% waterproof.</li> <li>Mat aspect, &ldquo;soft&rdquo; touch.</li> <li>Composed of 7 pieces : 1 top lid, 2 intermediary lids, 2 containers, 1 separator, 1 elastic band.</li> <li>Material : Body : PBT, intermediary lid : PP/ TPE / silicone.</li> <li>BPA free.</li> <li>Available in 10 colors and 6 designs.</li> </ul> <p>&nbsp;</p> <ul> </ul> <ul> </ul>"	"http://en.monbento.com/bento-box-monbento-original-yellow.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-jaune_2.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-jaune_2.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-jaune-01_2.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-jaune-02.jpg"	"28"	"new"	"in stock"
"1000 02 340"	"3760192681018"	"Monbento™ Original bento box - Sun"	"white/Red"	"PBT/PP/TPE/silicone"	"Sun"	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Monbento Original bento"	"M"	"Monbento"	"<ul> </ul> <ul> <li>Dimension : 18,5 cm x 9,4 cm x 9,4 cm (length x width x height)</li> <li>Volume : 2 x 500 ml = 1L</li> <li>Suitable for dishwasher.</li> <li>Suitable for microwave by opening the silicone cap of the intermediary lid.</li> <li>Easy care.</li> <li>100% waterproof.</li> <li>Mat aspect, &ldquo;soft&rdquo; touch.</li> <li>Composed of 7 pieces : 1 top lid, 2 intermediary lids, 2 containers, 1 separator, 1 elastic band.</li> <li>Material : Body : PBT, intermediary lid : PP/ TPE / silicone.</li> <li>BPA free.</li> <li>Available in 10 colors and 6 designs.</li> </ul> <p>&nbsp;</p> <ul> </ul>"	"http://en.monbento.com/bento-box-monbento-original-sun.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-sun.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-sun.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-sun-01.jpg"	"29"	"new"	"in stock"
"1000 02 350"	"3760192681025"	"Monbento™ Original bento box - Octopus"	"Fushia"	"PBT/PP/TPE/silicone"	"Octopus"	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Monbento Original bento"	"M"	"Monbento"	"<ul> <li>Dimension : 18,5 cm x 9,4 cm x 9,4 cm (length x width x height)</li> <li>Volume : 2 x 500 ml = 1L</li> <li>Suitable for dishwasher.</li> <li>Suitable for microwave by opening the silicone cap of the intermediary lid.</li> <li>Easy care.</li> <li>100% waterproof.</li> <li>Mat aspect, &ldquo;soft&rdquo; touch.</li> <li>Composed of 7 pieces : 1 top lid, 2 intermediary lids, 2 containers, 1 separator, 1 elastic band.</li> <li>Material : Body : PBT, intermediary lid : PP/ TPE / silicone.</li> <li>BPA free.</li> <li>Available in 10 colors and 6 designs.</li> </ul> <p>&nbsp;</p>"	"http://en.monbento.com/bento-box-monbento-original-octopus.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-octopus.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-octopus.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-octopus-01.jpg"	"29"	"new"	"in stock"
"1000 02 360"	"3760192681032"	"Monbento™ Original bento box - Tree girl"	"Sand grey"	"PBT/PP/TPE/silicone"	"Tree girl"	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Monbento Original bento"	"M"	"Monbento"	"<ul> </ul> <ul> <li>Dimension : 18,5 cm x 9,4 cm x 9,4 cm (length x width x height)</li> <li>Volume : 2 x 500 ml = 1L</li> <li>Suitable for dishwasher.</li> <li>Suitable for microwave by opening the silicone cap of the intermediary lid.</li> <li>Easy care.</li> <li>100% waterproof.</li> <li>Mat aspect, &ldquo;soft&rdquo; touch.</li> <li>Composed of 7 pieces : 1 top lid, 2 intermediary lids, 2 containers, 1 separator, 1 elastic band.</li> <li>Material : Body : PBT, intermediary lid : PP/ TPE / silicone.</li> <li>BPA free.</li> <li>Available in 10 colors and 6 designs.</li> </ul> <ul> </ul>"	"http://en.monbento.com/bento-box-monbento-original-tree-girl.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-tree-girl.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-tree-girl.jpg,http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-tree-girl-01.jpg"	"29"	"new"	"in stock"
"1002 02 360"	"3760192681308"	"Bag for monbento™ Original Tree Girl"	"Sand"	"polyester"	"Tree girl"	"Home &amp; Garden &gt; Kitchen &amp; Dining &gt; Food Carriers &gt; Lunch Bags"	"Bento bags"	"M"	"Monbento"	"<p>Size : 18 x 14 x 24 cm - 7.1 x 5.5 x 9.4 in.</p>"	"http://en.monbento.com/bag-for-monbento-original-tree-girl-bento.html"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-sac-treegirl-vert.jpg"	"http://en.monbento.com/media/catalog/product/b/e/bento-mon-bento-sac-treegirl-vert.jpg"	"9"	"new"	"in stock"
