id	gtin	title	color	material	pattern	google_product_category	product_type	size	brand	description	link	image_link	additional_image_link	price	condition	availability
"1005 01 049"	"3760192680929"	"Duo de récipients à sauce monbento™ Bleu foncé - Bleu clair"	"Bleu foncé/Bleu clair/Blanc"	"ABS/SBS"	""	"Maison et jardin &gt; Arts de la table et culinaires &gt; Supports pour aliments &gt; Paniers à pique-nique"	"accessoires pour bento"	"XS"	"Monbento"	"<li>Lot de deux r&eacute;cipients assortis.</li> <li>Contenance de chaque r&eacute;cipient de 18 mL.</li> <li>Passage au micro-ondes et lave-vaisselle autoris&eacute;s.</li> <li>Adaptables aux bo&icirc;tes bento de la gamme monbento&trade;.</li> <li>100% herm&eacute;tique.</li>"	"http://www.monbento.com/monbento-sauce-cup-bleu.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-bleus_3.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-bleus_3.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble05_2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble04_1.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble02_2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble03.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble01.jpg"	"5.2"	"new"	"in stock"
"1005 01 510"	"3760192680936"	"Duo de récipients à sauce monbento™ Vert - Sable"	"Vert/Sable/Blanc"	"ABS/SBS"	""	"Maison et jardin &gt; Arts de la table et culinaires &gt; Supports pour aliments &gt; Paniers à pique-nique"	"accessoires pour bento"	"XS"	"Monbento"	"<li>Lot de deux r&eacute;cipients assortis.</li> <li>Contenance de chaque r&eacute;cipient de 18 mL.</li> <li>Passage au micro-ondes et lave-vaisselle autoris&eacute;s.</li> <li>Parfaitement adaptables aux bo&icirc;tes bento de la gamme monbento&trade;.</li> <li>100% herm&eacute;tique.</li>"	"http://www.monbento.com/sauce-cup-vert-sable.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-gris-vert_3.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-gris-vert_3.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble01_2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble02_4.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble04_1_2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble03_2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble05_4.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble_2.jpg"	"5.2"	"new"	"in stock"
"1005 01 811"	"3760192680943"	"Duo de récipients à sauce monbento™ Rouge - Jaune"	"Rouge/Jaune/Blanc"	"ABS/SBS"	""	"Maison et jardin &gt; Arts de la table et culinaires &gt; Supports pour aliments &gt; Paniers à pique-nique"	"accessoires pour bento"	"XS"	"Monbento"	"<li>Lot de deux r&eacute;cipients assortis.</li> <li>Contenance de chaque r&eacute;cipient de 18 mL.</li> <li>Passage au micro-ondes et lave-vaisselle autoris&eacute;s.</li> <li>Adaptables aux bo&icirc;tes bento de la gamme monbento&trade;.</li> <li>100% herm&eacute;tique.</li> "	"http://www.monbento.com/monbento-sauce-cup-rouge-jaune.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-rouge-jaune_4.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-rouge-jaune_4.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble02_3.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble_1.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble03_1.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble05_3.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble01_1.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-recipient-a-sauce-temple-mon-bento-ensemble04_1_1.jpg"	"5.2"	"new"	"in stock"
"1006 02 002"	"3760192680950"	"30 Caissettes jetables (n°2) pour bento MB Original"	""	""	""	"&gt;"	""	""	"Monbento"	""	"http://www.monbento.com/30-caissettes-jetables-taille-2-pour-bento-mb-original.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-n2.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-n2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-bis-n2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-detail.jpg"	"5"	"new"	"in stock"
"1006 02 003"	"3760192680967"	"30 Caissettes jetables (n° 3) pour bento MB Original"	"Noir"	"PP"	""	"Sacs déjeuner et boîtes à repas"	"Caissettes jetables monbento"	"S"	"Monbento"	"<ul> <li>mati&egrave;re : PP</li> <li>passe au micro-onde, au lave vaisselle et au cong&eacute;lateur</li> <li>Ne passe pas au four.</li> </ul>"	"http://www.monbento.com/30-caissettes-jetables-taille-3-pour-bento-mb-original.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-n3.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-n3.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-bis-n3.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-detail_1.jpg"	"6"	"new"	"in stock"
"1006 02 004"	"3760192680974"	"30 Caissettes jetables (n°4) pour bento MB Original"	"Noir"	"PP"	""	"Sacs déjeuner et boîtes à repas"	"Caissettes jetables monbento"	"M"	"Monbento"	"<ul> <li>mati&egrave;re : PP</li> <li>passe au micro-onde, au lave vaisselle et au cong&eacute;lateur</li> <li>Ne passe pas au four.</li> </ul>"	"http://www.monbento.com/30-caissettes-jetables-taille-4-pour-bento-mb-original.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-n4.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-n4.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-bis-n4.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-detail_2.jpg"	"7"	"new"	"in stock"
"1006 03 005"	"3760192680981"	"30 Caissettes jetables (n°5) pour bento MB Square"	"Noir"	"PP"	""	"Sacs déjeuner et boîtes à repas"	"Caissettes jetables monbento"	"M"	"Monbento"	"<ul> <li>mati&egrave;re : PP</li> <li>passe au micro-onde, au lave vaisselle et au cong&eacute;lateur</li> <li>Ne passe pas au four.</li> </ul>"	"http://www.monbento.com/30-caissettes-jetables-n-5-pour-bento-mb-square.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mbs-mon-bento-n5.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mbs-mon-bento-n5.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mbs-mon-bento-bis-n5.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-detail_3.jpg"	"6"	"new"	"in stock"
"1006 03 006"	"3760192680998"	"30 Caissettes jetables (n°6) pour bento MB Square"	"Noir"	"PP"	""	"Sacs déjeuner et boîtes à repas"	"Caissettes jetables monbento"	"S"	"Monbento"	"<ul> <li>mati&egrave;re : PP</li> <li>passe au micro-onde, au lave vaisselle et au cong&eacute;lateur</li> <li>Ne passe pas au four.</li> </ul>"	"http://www.monbento.com/30-caissettes-jetables-n-6-pour-bento-mb-square.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mbs-mon-bento-n6.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mbs-mon-bento-n6.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mbs-mon-bento-bis-n6.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-caissettes-mon-bento-detail_4.jpg"	"5"	"new"	"in stock"
"1004 02 402"	"3760192681049"	"Couvercles interm.MB Original noir"	"Noir"	"PP/TPE/silicone"	""	"Arts de la table et arts culinaires"	"Accessoires monbento"	"M"	"Monbento"	"<ul> <li>100% herm&eacute;tique.</li> <li>Mati&egrave;re : PP/TPE/silicone.</li> <li>Disponible en 7 couleurs.</li> <li>Bouchon en silicone &agrave; soulever pour une bo&icirc;te totalement micro-ondable.</li> </ul>"	"http://www.monbento.com/couvercles-interm-original-noir.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-couvercle-noir-_2.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-couvercle-noir-_2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-cap-02-_1.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-cap-01.jpg"	"5"	"new"	"in stock"
"1000 02 111"	"3760192681001"	"Boite bento monbento™ Original - jaune"	"Jaune"	"PBT/PP/TPE/silicone"	""	"Maison et jardin &gt; Arts de la table et culinaires &gt; Supports pour aliments &gt; Paniers à pique-nique"	"Bento monbento Original"	"M"	"Monbento"	"<ul> </ul> <ul> <li>Dimensions : longueur : 18,5cm, largueur : 9,4 cm, hauteur : 9,4 cm.</li> <li>Volume : 2 x 500 ml = 1L.</li> <li>Passe au lave-vaisselle.</li> <li>Passe aux micro-ondes en soulevant le petit capuchon des couvercles interm&eacute;diaires.</li> <li>Entretien facilit&eacute;.</li> <li>100% herm&eacute;tique.</li> <li>Aspect mat, toucher &laquo; doux &raquo;.</li> <li>Compos&eacute; de 7 pi&egrave;ces : 1 couvercle sup&eacute;rieur, 2 couvercles interm&eacute;diaires, 2 r&eacute;cipients, 1 s&eacute;parateur, 1 &eacute;lastique.</li> <li>Mati&egrave;re :&nbsp; bento : PBT/PE, couvercle interm&eacute;diaire : PP/TPE.</li> <li>Sans BPA.</li> <li>Disponible en 10 couleurs et 6 graphismes.</li> </ul> <ul> </ul>"	"http://www.monbento.com/boite-bento-monbento-original-jaune.html"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-jaune_2.jpg"	"http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-jaune_2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-jaune-01_2.jpg,http://www.monbento.com/media/catalog/product/b/e/bento-mon-bento-original-jaune-02.jpg"	"28"	"new"	"in stock"
